,FIPS,STATE,AREA_NAME,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,stay at home rollback,>50 gatherings rollback,>500 gatherings rollback,restaurant dine-in rollback,entertainment/gym rollback
204,34019,NJ,hunterdon county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
205,34021,NJ,mercer county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
206,34023,NJ,middlesex county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
207,34025,NJ,monmouth county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
208,34027,NJ,morris county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
209,34029,NJ,ocean county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
210,34031,NJ,passaic county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
211,34033,NJ,salem county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
212,34035,NJ,somerset county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
213,34037,NJ,sussex county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
214,34039,NJ,union county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
215,34041,NJ,warren county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
216,35001,NM,bernalillo county,737508,737502,737502,737500,737502,737502,737500,737495,737553,NA,NA,737553,737553
217,35031,NM,mckinley county,737508,737502,737502,737500,737502,737502,737500,737495,737553,NA,NA,737553,737553
218,35045,NM,san juan county,737508,737502,737502,737500,737502,737502,737500,737495,737553,NA,NA,737553,737553
219,36001,NY,albany county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
220,36000_4,NY,"New York Super-county, Cluster 5",737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
221,36007,NY,broome county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
222,36027,NY,dutchess county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
223,36029,NY,erie county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
224,36055,NY,monroe county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
225,36059,NY,nassau county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
226,36061,NY,new york county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
227,36063,NY,niagara county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
228,36065,NY,oneida county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
229,36067,NY,onondaga county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
230,36071,NY,orange county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
231,36073,NY,orleans county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
232,36079,NY,putnam county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
233,36000_1,NY,"New York Super-county, Cluster 2",737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
234,36087,NY,rockland county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
235,36103,NY,suffolk county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
236,36111,NY,ulster county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
237,36119,NY,westchester county,737506,737500,737497,737502,737500,737500,737500,737495,NA,NA,NA,NA,NA
238,37000_4,NC,"North Carolina Super-county, Cluster 5",737514,737507,737496,737500,737501,737507,737500,737495,737565,NA,NA,737549,737549
239,37000_0,NC,"North Carolina Super-county, Cluster 1",737514,737507,737496,737500,737501,737507,737500,737495,737565,NA,NA,737549,737549
240,37000_1,NC,"North Carolina Super-county, Cluster 2",737514,737507,737496,737500,737501,737507,737500,737495,737565,NA,NA,737549,737549
