GEO.display-label; Total; Total_Male; Total_Female;Total_age0to17;Male_age0to17;Female_age0to17;Total_age18to64;Male_age18to64;Female_age18to64;Total_age65plus;Male_age65plus;Female_age65plus;Total_age85plusr;Male_age85plusr;Female_age85plusr
"Pulaski County, Georgia";11069;4774;6295;2025;1029;996;6541;2630;3911;2503;1115;1388;270;86;184
"Putnam County, Georgia";21809;10643;11166;4348;2176;2172;12215;5934;6281;5246;2533;2713;436;186;250
"Quitman County, Georgia";2279;1090;1189;405;195;210;1163;569;594;711;326;385;74;32;42
"Rabun County, Georgia";16867;8295;8572;2858;1441;1417;9346;4679;4667;4663;2175;2488;446;164;282
"Randolph County, Georgia";6833;3157;3676;1387;713;674;3814;1769;2045;1632;675;957;275;73;202
"Richmond County, Georgia";201554;97624;103930;46063;23716;22347;127149;62066;65083;28342;11842;16500;3015;990;2025
"Rockdale County, Georgia";90594;42596;47998;22370;11265;11105;55165;25602;29563;13059;5729;7330;1250;459;791
"Schley County, Georgia";5236;2484;2752;1309;664;645;3030;1416;1614;897;404;493;88;29;59
"Screven County, Georgia";13938;6902;7036;2935;1610;1325;8381;4116;4265;2622;1176;1446;254;93;161
"Seminole County, Georgia";8315;3981;4334;1728;873;855;4669;2225;2444;1918;883;1035;249;83;166
"Spalding County, Georgia";66100;31749;34351;15558;7915;7643;38739;18737;20002;11803;5097;6706;1186;397;789
"Stephens County, Georgia";26035;12508;13527;5787;2922;2865;15196;7290;7906;5052;2296;2756;437;151;286
"Stewart County, Georgia";6199;4094;2105;749;390;359;4486;3293;1193;964;411;553;154;61;93
"Sumter County, Georgia";29733;13967;15766;6728;3344;3384;18026;8517;9509;4979;2106;2873;531;171;360
"Talbot County, Georgia";6272;3002;3270;1016;502;514;3727;1793;1934;1529;707;822;134;41;93
"Taliaferro County, Georgia";1608;796;812;272;138;134;913;474;439;423;184;239;69;12;57
"Tattnall County, Georgia";25391;14640;10751;5146;2674;2472;16616;10381;6235;3629;1585;2044;329;95;234
"Taylor County, Georgia";8039;3842;4197;1632;817;815;4781;2336;2445;1626;689;937;176;61;115
"Telfair County, Georgia";15876;9284;6592;2537;1277;1260;10466;6749;3717;2873;1258;1615;428;137;291
"Terrell County, Georgia";8611;4122;4489;1987;1003;984;4916;2410;2506;1708;709;999;179;51;128
"Thomas County, Georgia";44448;21047;23401;10534;5373;5161;25783;12227;13556;8131;3447;4684;885;303;582
"Tift County, Georgia";40571;19622;20949;10020;5133;4887;24514;11952;12562;6037;2537;3500;688;208;480
"Toombs County, Georgia";26887;12781;14106;7113;3661;3452;15375;7293;8082;4399;1827;2572;498;138;360
"Towns County, Georgia";11852;5658;6194;1507;771;736;6252;3017;3235;4093;1870;2223;473;189;284
"Treutlen County, Georgia";6809;3386;3423;1543;734;809;4011;2123;1888;1255;529;726;156;50;106
